FamilyID	Tuco<1>	Pcau<2>	Psam<3>	Ppac<4>	Hexe<5>	Rvar<6>	Ebro<7>	Nstr<8>	Lpol<9>	Ptep<10>	Cscu<11>	Popi<12>	Dpte<13>	Dsil<14>	Smar<15>	Rimm<16>	Hhol<17>	Gmae<18>	Dste<19>	Eaff<20>	Tcal<21>	Ppol<22>	Hazt<23>	Anas<24>	Pchi<25>	Hame<26>	Pcla<27>	Cqua<28>	Dmag<29>	Dgal<30>	Dapu<31>	Dpul<32>	Tqin<33>	Caug<34>	Iele<35>	Znev<36>	Tcas<37>	Dmel<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>
OG0000010	16	15	94	2	1	1	15	1	51	17	27	1	1	13	18	65	4	10	3	6	4	35	34	11	37	45	58	46	5	6	5	6	24	8	3	4	6	14	8	10	9	19	9	3	9	10	10	13	13	14	11	10	10	11	19	10	10	10	11	8	18	26	25	34	41	42	10	6	6	6	10	10	8	8	8
OG0000012	23	19	16	12	15	19	41	50	37	31	28	27	9	40	33	54	17	14	22	25	20	19	11	11	13	15	15	16	8	10	9	9	14	17	16	45	14	9	8	13	14	14	15	16	18	21	24	26	26	26	26	26	21	22	29	20	19	18	18	20	18	15	14	15	15	15	17	10	10	10	17	17	18	18	15
OG0000013	23	32	23	15	18	35	45	6	67	28	30	24	15	16	16	20	12	18	10	26	19	26	18	12	20	18	24	19	17	14	16	16	21	22	24	17	16	17	8	15	14	17	15	21	16	17	17	22	22	23	22	21	17	17	17	17	17	18	19	20	19	18	18	19	19	19	18	16	16	16	18	18	18	18	17
OG0000014	28	14	48	37	11	17	26	27	40	27	51	40	31	86	18	36	96	37	24	49	30	57	28	42	44	33	31	48	28	36	29	34	99	92	34	35	51	35	8	12	18	32	19	16	23	33	34	38	38	38	39	41	35	36	33	42	38	41	41	40	42	39	38	39	38	38	43	34	34	34	48	48	43	42	42
OG0000015	44	36	31	12	22	31	27	39	45	34	57	34	8	44	22	38	35	26	21	44	44	52	28	41	38	45	28	54	13	16	17	15	37	65	13	18	16	25	8	21	16	18	18	23	21	28	30	33	33	35	33	32	28	28	28	28	29	30	34	38	36	37	37	38	39	39	30	17	17	17	30	30	23	23	22
OG0000016	30	25	62	23	21	32	20	22	36	20	23	15	7	13	17	51	23	26	22	54	21	34	19	9	24	25	19	17	15	16	15	16	31	35	13	18	12	10	8	15	15	28	16	22	17	20	20	20	20	20	19	17	21	22	24	22	22	22	23	27	23	20	19	20	20	20	22	17	17	17	22	22	17	17	14
OG0000017	15	19	18	11	14	13	27	8	45	19	29	22	13	15	16	18	21	16	13	19	18	31	20	16	18	21	23	24	15	14	17	16	12	16	17	10	17	17	8	11	11	13	12	13	14	16	16	19	19	19	19	18	16	16	16	16	16	16	17	18	18	19	19	20	21	21	16	16	16	16	16	16	16	16	16
OG0000018	36	45	30	10	11	25	21	29	43	17	26	34	11	28	25	28	16	21	38	28	22	41	30	21	30	23	16	24	22	18	15	24	20	33	18	13	15	14	8	21	13	16	14	16	16	21	22	24	24	24	24	23	21	21	23	20	23	23	24	24	25	24	24	24	23	23	22	20	20	20	22	22	19	18	17
OG0000019	28	20	21	12	14	21	28	13	48	25	26	24	16	20	23	28	21	29	11	24	17	26	22	12	19	18	22	21	16	17	20	20	13	27	21	11	20	19	8	14	13	15	14	16	16	19	19	22	22	22	22	21	19	20	22	21	19	19	19	19	19	19	19	19	19	19	19	18	18	18	19	19	18	18	18
OG0000020	13	15	30	16	7	5	23	13	39	22	32	16	10	18	14	17	11	17	21	18	14	37	20	10	16	15	21	14	13	12	11	19	9	21	10	11	10	10	8	10	11	17	11	8	13	15	16	19	19	20	19	18	15	15	15	15	15	15	16	16	17	16	16	16	16	16	14	14	14	14	14	14	12	12	11
